provider_parent_name,provider_org_name,total_waiting,over_18_weeks,over_52_weeks,over_104_weeks,breach_rate_pct
NHS FRIMLEY INTEGRATED CARE BOARD,NEWMEDICA - BERKSHIRE,1515.0,518.0,14.0,0.0,34.2
NHS NORTH EAST LONDON INTEGRATED CARE BOARD,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",68875.0,23411.0,862.0,0.0,34.0
NHS NORTH WEST LONDON INTEGRATED CARE BOARD,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,75645.0,25722.0,958.0,0.0,34.0
NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,WEST SUFFOLK NHS FOUNDATION TRUST,29130.0,9901.0,413.0,1.0,34.0
NHS WEST YORKSHIRE INTEGRATED CARE BOARD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,31446.0,10636.0,63.0,0.0,33.8
NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,RIVERS HOSPITAL,4766.0,1605.0,24.0,0.0,33.7
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,77666.0,26171.0,1069.0,0.0,33.7
NHS SUSSEX INTEGRATED CARE BOARD,EAST SUSSEX HEALTHCARE NHS TRUST,57467.0,19351.0,463.0,0.0,33.7
NHS DEVON INTEGRATED CARE BOARD,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,33478.0,11253.0,596.0,0.0,33.6
NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,83918.0,28208.0,1127.0,0.0,33.6
NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,58229.0,19494.0,456.0,0.0,33.5
NHS NORTH EAST LONDON INTEGRATED CARE BOARD,PRACTICE PLUS GROUP HOSPITAL - ILFORD,4719.0,1577.0,14.0,2.0,33.4
NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,NEWMEDICA - BRIGG - RIVERSIDE SURGERY,890.0,296.0,0.0,0.0,33.3
NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,GEORGE ELIOT HOSPITAL NHS TRUST,19118.0,6348.0,91.0,0.0,33.2
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,43027.0,14296.0,415.0,0.0,33.2
NHS WEST YORKSHIRE INTEGRATED CARE BOARD,MID YORKSHIRE TEACHING NHS TRUST,53908.0,17859.0,231.0,0.0,33.1
NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,SURREY AND SUSSEX HEALTHCARE NHS TRUST,47269.0,15583.0,621.0,0.0,33.0
NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,UNIVERSITY OF SOUTHAMPTON AUDITORY IMPLANT SERVICE,191.0,63.0,7.0,0.0,33.0
"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",NEWMEDICA AZTEC WEST,841.0,277.0,2.0,0.0,32.9
NHS WEST YORKSHIRE INTEGRATED CARE BOARD,LEEDS TEACHING HOSPITALS NHS TRUST,85124.0,27896.0,1292.0,2.0,32.8
NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,ANGLIA COMMUNITY EYE SERVICE - CAMBRIDGE,274.0,90.0,0.0,0.0,32.8
NHS DORSET INTEGRATED CARE BOARD,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,66516.0,21605.0,631.0,0.0,32.5
NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,PARK HOSPITAL,1973.0,636.0,23.0,0.0,32.2
NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,45394.0,14527.0,310.0,0.0,32.0
"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,49924.0,15967.0,312.0,0.0,32.0
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,BESPOKE HEALTHCARE LTD,423.0,135.0,0.0,0.0,31.9
NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,43861.0,13998.0,278.0,0.0,31.9
NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,COMMUNITAS CLINICS,4469.0,1416.0,33.0,0.0,31.7
NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,SPIRE PARKWAY HOSPITAL,1476.0,465.0,16.0,0.0,31.5
NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,105788.0,33370.0,775.0,0.0,31.5
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,16497.0,5203.0,212.0,0.0,31.5
NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,89544.0,28115.0,397.0,0.0,31.4
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,EUXTON HALL HOSPITAL,3342.0,1048.0,5.0,0.0,31.4
NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,BLACKHEATH HOSPITAL,1510.0,472.0,23.0,0.0,31.3
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,NEWMEDICA - CHESHIRE OAKS,636.0,199.0,3.0,0.0,31.3
"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,34275.0,10659.0,0.0,0.0,31.1
NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,29705.0,9247.0,172.0,0.0,31.1
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,HIGHFIELD HOSPITAL,932.0,288.0,0.0,0.0,30.9
NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,54332.0,16769.0,340.0,0.0,30.9
"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,39105.0,12073.0,215.0,0.0,30.9
NHS NORTH WEST LONDON INTEGRATED CARE BOARD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,83944.0,25933.0,96.0,0.0,30.9
NHS DORSET INTEGRATED CARE BOARD,HARBOUR HOSPITAL,194.0,60.0,0.0,0.0,30.9
NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,THE ROTHERHAM NHS FOUNDATION TRUST,28274.0,8688.0,334.0,0.0,30.7
NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,MOUNT ALVERNIA HOSPITAL,223.0,68.0,1.0,0.0,30.5
NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,BORDER HEALTH ALLIANCE LIMITED,560.0,170.0,0.0,0.0,30.4
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,EAST LANCASHIRE HOSPITALS NHS TRUST,47723.0,14322.0,329.0,0.0,30.0
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,BUCKSHAW HOSPITAL,2848.0,853.0,11.0,0.0,30.0
NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,SPAMEDICA SOUTHAMPTON,454.0,136.0,0.0,0.0,30.0
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,"NUFFIELD HEALTH, TEES HOSPITAL",1642.0,491.0,2.0,0.0,29.9
NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,WOODTHORPE HOSPITAL,3599.0,1073.0,7.0,0.0,29.8
NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,DROITWICH SPA HOSPITAL,1563.0,466.0,0.0,0.0,29.8
NHS BLACK COUNTRY INTEGRATED CARE BOARD,STOURSIDE HOSPITAL,2961.0,879.0,17.0,0.0,29.7
NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,NEWMEDICA - GLOUCESTER (ASPEN MEDICAL CENTRE),526.0,156.0,2.0,0.0,29.7
NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,PRIORY HOSPITAL,669.0,198.0,3.0,0.0,29.6
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,21534.0,6322.0,212.0,0.0,29.4
"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",BLAKELANDS HOSPITAL,2318.0,680.0,8.0,0.0,29.3
NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,SPIRE LITTLE ASTON HOSPITAL,1339.0,392.0,6.0,0.0,29.3
"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",NORTH BRISTOL NHS TRUST,39487.0,11568.0,38.0,0.0,29.3
NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,"NUFFIELD HEALTH, HEREFORD HOSPITAL",488.0,143.0,0.0,0.0,29.3
NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,CROYDON HEALTH SERVICES NHS TRUST,32341.0,9372.0,280.0,0.0,29.0
NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,21494.0,6231.0,136.0,0.0,29.0
NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,KINGS OAK HOSPITAL,1125.0,326.0,2.0,0.0,29.0
"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",SHELBURNE HOSPITAL,180.0,52.0,0.0,0.0,28.9
NHS SOMERSET INTEGRATED CARE BOARD,PRACTICE PLUS GROUP HOSPITAL - SHEPTON MALLET,2705.0,777.0,31.0,0.0,28.7
NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,THORNBURY HOSPITAL,712.0,204.0,4.0,0.0,28.7
NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,WHITTINGTON HEALTH NHS TRUST,21820.0,6238.0,76.0,0.0,28.6
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,FULWOOD HALL HOSPITAL,4313.0,1234.0,14.0,0.0,28.6
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,33941.0,9663.0,545.0,0.0,28.5
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,SPIRE LIVERPOOL HOSPITAL,2578.0,736.0,7.0,0.0,28.5
NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,"NUFFIELD HEALTH, YORK HOSPITAL",1146.0,326.0,0.0,0.0,28.4
"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",SALISBURY NHS FOUNDATION TRUST,30359.0,8608.0,26.0,0.0,28.4
"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",RIDGEWAY HOSPITAL,448.0,127.0,0.0,0.0,28.3
NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,ONE HATFIELD HOSPITAL,212.0,60.0,7.0,0.0,28.3
"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",NEW HALL HOSPITAL,3426.0,967.0,25.0,2.0,28.2
NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,SPRINGFIELD HOSPITAL,4975.0,1402.0,141.0,0.0,28.2
NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,ASHTEAD HOSPITAL,1033.0,291.0,4.0,0.0,28.2
"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",CIRCLE READING HOSPITAL,1817.0,508.0,0.0,0.0,28.0
NHS NORTH WEST LONDON INTEGRATED CARE BOARD,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,9158.0,2565.0,14.0,0.0,28.0
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,81301.0,22340.0,579.0,0.0,27.5
"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",SIRONA CARE & HEALTH,5776.0,1591.0,0.0,0.0,27.5
NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,THE ONE HEALTH GROUP PLC,5728.0,1574.0,5.0,1.0,27.5
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,SPIRE MURRAYFIELD HOSPITAL,829.0,227.0,3.0,0.0,27.4
NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,SPIRE HARTSWOOD HOSPITAL,1175.0,321.0,2.0,0.0,27.3
NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,10811.0,2952.0,150.0,0.0,27.3
NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,NEWMEDICA COMMUNITY OPHTHALMOLOGY - NORTH EAST LINCOLNSHIRE - GRIMSBY,1057.0,285.0,1.0,0.0,27.0
NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,CAVELL HOSPITAL,1348.0,364.0,5.0,0.0,27.0
NHS BLACK COUNTRY INTEGRATED CARE BOARD,WALSALL HEALTHCARE NHS TRUST,27304.0,7319.0,2.0,0.0,26.8
NHS WEST YORKSHIRE INTEGRATED CARE BOARD,AIREDALE NHS FOUNDATION TRUST,14202.0,3782.0,44.0,0.0,26.6
NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,ROYAL CORNWALL HOSPITALS NHS TRUST,41862.0,11032.0,250.0,0.0,26.4
NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,SLOANE HOSPITAL,863.0,228.0,11.0,0.0,26.4
"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",NEWMEDICA - SWINDON MURDOCK ROAD,148.0,39.0,0.0,0.0,26.4
NHS WEST YORKSHIRE INTEGRATED CARE BOARD,SPIRE ELLAND HOSPITAL,1282.0,338.0,2.0,0.0,26.4
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,BEARDWOOD HOSPITAL,2362.0,623.0,0.0,0.0,26.4
NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,SHIRLEY OAKS HOSPITAL,968.0,252.0,1.0,0.0,26.0
NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,8547.0,2223.0,195.0,2.0,26.0
NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,ORTHOPAEDICS & SPINE SPECIALIST HOSPITAL SITE,237.0,61.0,0.0,0.0,25.7
NHS WEST YORKSHIRE INTEGRATED CARE BOARD,THE YORKSHIRE CLINIC,7414.0,1895.0,24.0,0.0,25.6
NHS FRIMLEY INTEGRATED CARE BOARD,NEWMEDICA - BERKSHIRE - BRACKNELL,164.0,42.0,1.0,0.0,25.6
NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,67612.0,17244.0,6.0,0.0,25.5
NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,WINFIELD HOSPITAL,1115.0,284.0,0.0,0.0,25.5
"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",SULIS HOSPITAL BATH (FOXCOTE AVENUE),3640.0,907.0,5.0,0.0,24.9
NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,NUFFIELD HEALTH PARKSIDE HOSPITAL,821.0,204.0,52.0,43.0,24.8
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,TEES VALLEY HOSPITAL,4304.0,1059.0,0.0,0.0,24.6
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,LANCASTER PRIVATE HOSPITAL,332.0,81.0,0.0,0.0,24.4
NHS DORSET INTEGRATED CARE BOARD,WINTERBOURNE HOSPITAL,402.0,98.0,0.0,0.0,24.4
NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,PARK HILL HOSPITAL,765.0,187.0,0.0,0.0,24.4
NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,SPIRE GATWICK PARK HOSPITAL,1274.0,310.0,9.0,0.0,24.3
NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,EPSOMEDICAL GROUP,3130.0,753.0,57.0,1.0,24.1
NHS WEST YORKSHIRE INTEGRATED CARE BOARD,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,36307.0,8723.0,6.0,0.0,24.0
NHS KENT AND MEDWAY INTEGRATED CARE BOARD,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,46181.0,11055.0,23.0,1.0,23.9
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,SPIRE WASHINGTON HOSPITAL,1642.0,393.0,12.0,0.0,23.9
NHS BLACK COUNTRY INTEGRATED CARE BOARD,"NUFFIELD HEALTH, WOLVERHAMPTON HOSPITAL",606.0,145.0,1.0,0.0,23.9
NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,GLENDON WOOD HOSPITAL,1341.0,319.0,0.0,0.0,23.8
NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,20774.0,4936.0,7.0,0.0,23.8
NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,DORKING HEALTHCARE LIMITED (DHC),6519.0,1545.0,1.0,0.0,23.7
NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,SPIRE SOUTH BANK HOSPITAL,842.0,199.0,3.0,0.0,23.6
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,16401.0,3865.0,0.0,0.0,23.6
NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,PRACTICE PLUS GROUP HOSPITAL - BARLBOROUGH,1953.0,458.0,0.0,0.0,23.5
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,57899.0,13559.0,5.0,0.0,23.4
NHS SUSSEX INTEGRATED CARE BOARD,SUSSEX COMMUNITY DERMATOLOGY SERVICE,13362.0,3125.0,1.0,0.0,23.4
NHS NORTH EAST LONDON INTEGRATED CARE BOARD,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,26282.0,6161.0,175.0,0.0,23.4
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,VERNOVA HEALTHCARE COMMUNITY INTEREST COMPANY,293.0,68.0,4.0,0.0,23.2
NHS KENT AND MEDWAY INTEGRATED CARE BOARD,CHAUCER HOSPITAL,921.0,213.0,1.0,0.0,23.1
"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",PRACTICE PLUS GROUP SURGICAL CENTRE - DEVIZES,2913.0,669.0,5.0,0.0,23.0
"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",THE BERKSHIRE INDEPENDENT HOSPITAL,1095.0,251.0,1.0,0.0,22.9
NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,ST HUGH'S HOSPITAL,1941.0,444.0,12.0,0.0,22.9
NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,ONE STOP DOCTORS LIMITED,521.0,119.0,1.0,0.0,22.8
NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,14919.0,3404.0,2.0,0.0,22.8
NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,"NUFFIELD HEALTH, WARWICKSHIRE HOSPITAL",399.0,91.0,4.0,0.0,22.8
NHS SUSSEX INTEGRATED CARE BOARD,"NUFFIELD HEALTH, CHICHESTER HOSPITAL",427.0,97.0,1.0,0.0,22.7
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,GATESHEAD HEALTH NHS FOUNDATION TRUST,11572.0,2602.0,17.0,0.0,22.5
NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,NEWMEDICA - GLOUCESTER (BRIGHOUSE COURT),1386.0,307.0,3.0,0.0,22.2
NHS KENT AND MEDWAY INTEGRATED CARE BOARD,SPIRE ALEXANDRA HOSPITAL,1107.0,241.0,1.0,0.0,21.8
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,WOODLANDS HOSPITAL,2661.0,579.0,0.0,0.0,21.8
NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,OPTEGRA EYE HOSPITAL COLCHESTER,339.0,74.0,0.0,0.0,21.8
NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,NUFFIELD HEALTH THE HOLLY HOSPITAL,4143.0,896.0,11.0,6.0,21.6
NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,SPIRE NORWICH HOSPITAL,957.0,207.0,1.0,0.0,21.6
NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,5283.0,1121.0,24.0,0.0,21.2
"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",PRACTICE PLUS GROUP HOSPITAL - EMERSONS GREEN,5173.0,1092.0,0.0,0.0,21.1
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,NEWMEDICA - MANCHESTER WEST,344.0,71.0,0.0,0.0,20.6
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,6034.0,1240.0,15.0,0.0,20.6
NHS NORTH EAST LONDON INTEGRATED CARE BOARD,LONDON INDEPENDENT HOSPITAL,3735.0,762.0,1.0,0.0,20.4
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,TYNESIDE SURGICAL SERVICES LTD,1417.0,287.0,1.0,0.0,20.3
NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,"NUFFIELD HEALTH, WOKING HOSPITAL",328.0,66.0,19.0,0.0,20.1
"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",NEWMEDICA - BRISTOL - LITFIELD HOUSE,402.0,80.0,0.0,0.0,19.9
NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,PRACTICE PLUS GROUP HOSPITAL BIRMINGHAM,1404.0,279.0,0.0,0.0,19.9
NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,ANGLIA COMMUNITY EYE SERVICE LTD,680.0,135.0,0.0,0.0,19.9
"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",NEWMEDICA - LANGFORD,404.0,80.0,1.0,0.0,19.8
"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD","NUFFIELD HEALTH, LEICESTER HOSPITAL",465.0,91.0,10.0,2.0,19.6
NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,SPIRE NOTTINGHAM HOSPITAL,695.0,135.0,1.0,0.0,19.4
"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",INHEALTH LIMITED,1014.0,195.0,0.0,0.0,19.2
"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",CHILTERN HOSPITAL,421.0,81.0,1.0,0.0,19.2
"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",SHROPSHIRE COMMUNITY HEALTH NHS TRUST,8103.0,1529.0,0.0,0.0,18.9
NHS NORTH WEST LONDON INTEGRATED CARE BOARD,BISHOPS WOOD HOSPITAL,521.0,98.0,0.0,0.0,18.8
